S/No	FFDD	Date	Time	Version	Station	Fixture	PC	MIC	L_FREQ	R_FREQ	L_dB	R_dB	L_Noise	R_Noise	CycleTime	
DDPJB01855TBSY	OOOOOO	20131210	00:39:36	2012.10.22	000	000	000	2	1001	1001	-31.65	-23.55	101.02	233.68	7	
DDPJB01855TCHF	OOOOOO	20131210	00:39:47	2012.10.22	000	000	000	2	1001	1001	-31.33	-32.47	102.77	68.08	14	
DDPJB01855TBSS	OOOOOO	20131210	00:40:02	2012.10.22	000	000	000	2	1001	1001	-33.76	-31.31	45.92	80.41	13	
DDPJB01855TCGP	OOOXOO	20131210	00:40:17	2012.10.22	000	000	000	2	1001	1001	-36.44	-37.91	40.04	38.25	13	
DDPJB01855TC4J	OOOOOO	20131210	00:40:31	2012.10.22	000	000	000	2	1001	1001	-32.19	-31.84	59.65	64.44	11	
DDPJB01855TCGP	OOXXOO	20131210	00:40:44	2012.10.22	000	000	000	2	1001	1001	-38.04	-37.51	39.61	47.19	16	
DDPJB01855TC43	OOOOOO	20131210	00:41:02	2012.10.22	000	000	000	2	1001	1001	-24.94	-32.39	184.40	88.14	12	
DDPJB01855TCGP	OOOOOO	20131210	00:41:16	2012.10.22	000	000	000	2	1001	1001	-27.25	-31.27	117.75	66.47	17	
DDPJB01855TCHG	OOOOOO	20131210	00:41:35	2012.10.22	000	000	000	2	1001	1001	-28.87	-31.21	134.63	138.67	15	
DDPJB01855TCHO	OOOOOO	20131210	00:41:51	2012.10.22	000	000	000	2	1001	1001	-26.46	-34.83	149.48	55.23	14	
DDPJB01855TCHP	OOOOOO	20131210	00:42:09	2012.10.22	000	000	000	2	1001	1001	-26.49	-31.72	166.87	74.84	14	
DDPJB01855TCHN	OOOOOO	20131210	00:42:25	2012.10.22	000	000	000	2	1001	1001	-22.33	-26.49	191.79	134.94	13	
DDPJB01855TCHL	OOXXOO	20131210	00:42:39	2012.10.22	000	000	000	2	1001	1001	-31.91	-31.93	55.18	52.64	14	
DDPJB01855TCHV	OOOOOO	20131210	00:42:55	2012.10.22	000	000	000	2	1001	1001	-23.78	-32.31	171.96	71.22	12	
DDPJB01855TCHL	OOOOOO	20131210	00:43:09	2012.10.22	000	000	000	2	1001	1001	-22.72	-27.58	198.25	93.07	13	
DDPJB01855TC42	OOOOOO	20131210	00:43:23	2012.10.22	000	000	000	2	1001	1001	-26.88	-28.96	159.71	88.82	13	
DDPJB01855TCHQ	OOOOOO	20131210	00:43:37	2012.10.22	000	000	000	2	1001	1001	-29.31	-34.36	68.22	38.73	7	
DDPJB01855TCHK	OOOOOO	20131210	00:43:46	2012.10.22	000	000	000	2	1001	1001	-29.54	-35.48	103.46	40.17	6	
DDPJB01855TCHJ	OOOOOO	20131210	00:43:54	2012.10.22	000	000	000	2	1001	1001	-30.97	-31.09	88.30	77.98	12	
DDPJB01855TCHY	OOOOOO	20131210	00:44:08	2012.10.22	000	000	000	2	1001	1001	-31.17	-30.44	57.02	65.35	6	
DDPJB01855TCHR	OOOOOO	20131210	00:44:15	2012.10.22	000	000	000	2	1001	1001	-25.27	-30.63	128.89	154.60	13	
DDPJB01855TCHS	OOOOOO	20131210	00:44:30	2012.10.22	000	000	000	2	1001	1001	-30.17	-28.59	100.42	121.05	13	
DDPJB01855TCHT	OOOOOO	20131210	00:44:44	2012.10.22	000	000	000	2	1001	1001	-34.50	-30.41	65.50	97.64	13	
DDPJB01855TCHU	OOOOOO	20131210	00:44:58	2012.10.22	000	000	000	2	1001	1001	-35.13	-30.56	54.10	93.27	6	
DDPJB01855TD9H	OOOOOO	20131210	00:45:06	2012.10.22	000	000	000	2	1001	1001	-29.10	-27.88	101.67	113.20	14	
DDPJB01855TD3Y	OOOOOO	20131210	00:45:21	2012.10.22	000	000	000	2	1001	1001	-29.92	-32.45	75.35	67.00	13	
DDPJB01855TD3O	OOOOOO	20131210	00:45:36	2012.10.22	000	000	000	2	1001	1001	-36.18	-30.80	64.29	106.93	12	
DDPJB01855TD3T	OOOOOO	20131210	00:45:49	2012.10.22	000	000	000	2	1001	1001	-30.40	-34.55	92.48	57.28	13	
DDPJB01855TD3S	OOOOOO	20131210	00:46:03	2012.10.22	000	000	000	2	1001	1001	-31.07	-33.39	89.02	65.63	7	
DDPJB01855TD4L	OOOOOO	20131210	00:46:11	2012.10.22	000	000	000	2	1001	1001	-31.44	-33.98	71.66	51.89	6	
DDPJB01855TD9N	OOOOXX	20131210	00:46:18	2012.10.22	000	000	000	2	1001	1001	-34.63	-28.35	491.00	389.45	12	
DDPJB01855TD4B	OOOOOO	20131210	00:46:32	2012.10.22	000	000	000	2	1001	1001	-24.68	-31.11	64.32	73.30	13	
DDPJB01855TD9N	OOOOOO	20131210	00:46:46	2012.10.22	000	000	000	2	1001	1001	-31.53	-30.93	81.08	87.21	7	
DDPJB01855TD4G	OOOOOO	20131210	00:46:54	2012.10.22	000	000	000	2	1001	1001	-30.90	-30.52	70.34	72.33	6	
DDPJB01855TD45	OOOOOO	20131210	00:47:02	2012.10.22	000	000	000	2	1001	1001	-30.79	-25.82	79.00	161.09	13	
DDPJB01855TD5I	OOOOOO	20131210	00:47:17	2012.10.22	000	000	000	2	1001	1001	-29.01	-34.45	91.69	52.86	13	
DDPJB01855TD5D	OOOOOO	20131210	00:47:31	2012.10.22	000	000	000	2	1001	1001	-34.77	-31.56	46.74	70.26	12	
DDPJB01855TD9A	OXOXOO	20131210	00:47:44	2012.10.22	000	000	000	2	1001	0	-33.22	-82.35	52.52	0.58	12	
DDPJB01855TD3P	OOXOOO	20131210	00:47:58	2012.10.22	000	000	000	2	1001	1001	-39.42	-30.86	52.93	83.60	14	
DDPJB01855TD9A	OXOXOO	20131210	00:48:13	2012.10.22	000	000	000	2	1001	0	-28.62	-82.35	118.64	0.73	12	
DDPJB01855TD3P	OOOOOO	20131210	00:48:28	2012.10.22	000	000	000	2	1001	1001	-28.19	-28.80	137.50	115.66	11	
DDPJB01855TD9A	OXOXOO	20131210	00:48:41	2012.10.22	000	000	000	2	1001	0	-30.24	-78.27	77.27	0.61	15	
DDPJB01855TD9K	OOOOOO	20131210	00:49:09	2012.10.22	000	000	000	2	1001	1001	-31.04	-27.96	83.03	101.36	12	
DDPJB01855TD9F	OOOOOO	20131210	00:49:22	2012.10.22	000	000	000	2	1001	1001	-30.26	-35.23	65.65	44.48	14	
DDPJB01855TD4X	OOOOOO	20131210	00:49:37	2012.10.22	000	000	000	2	1001	1001	-30.21	-35.53	73.02	47.57	7	
DDPJB01855TD57	OOOOOO	20131210	00:49:46	2012.10.22	000	000	000	2	1001	1001	-28.73	-31.22	120.67	128.75	13	
DDPJB01855TD52	OOXOOO	20131210	00:50:00	2012.10.22	000	000	000	2	1001	1001	-37.01	-33.10	28.73	52.20	18	
DDPJB01855TD9O	OOOOOO	20131210	00:50:20	2012.10.22	000	000	000	2	1001	1001	-36.37	-31.70	51.96	77.77	13	
DDPJB01855TD52	OOOOOO	20131210	00:50:34	2012.10.22	000	000	000	2	1001	1001	-33.36	-31.28	84.58	107.98	14	
DDPJB01855TC5X	OOOOOO	20131210	00:51:14	2012.10.22	000	000	000	2	1001	1001	-31.28	-28.84	66.68	85.52	11	
DDPJB01855TD03	OOOOOO	20131210	00:51:26	2012.10.22	000	000	000	2	1001	1001	-31.99	-29.55	64.21	78.46	6	
DDPJB01855TC69	OOOOOO	20131210	00:51:34	2012.10.22	000	000	000	2	1001	1001	-31.94	-29.45	63.29	79.29	6	
DDPJB01855TC63	OOOOOO	20131210	00:51:43	2012.10.22	000	000	000	2	1001	1001	-32.12	-29.54	77.77	109.73	7	
DDPJB01855TC5Y	OOOOOO	20131210	00:51:54	2012.10.22	000	000	000	2	1001	1001	-32.12	-29.63	79.03	105.15	7	
DDPJB01855TC62	OOOOOO	20131210	00:52:08	2012.10.22	000	000	000	2	1001	1001	-32.35	-29.77	91.00	106.48	7	
DDPJB01855TC5R	OOXXOO	20131210	00:52:17	2012.10.22	000	000	000	2	1001	1001	-30.27	-30.17	80.79	79.60	13	
DDPJB01855TC5N	OOOOOO	20131210	00:52:31	2012.10.22	000	000	000	2	1001	1001	-24.97	-29.03	191.13	121.36	16	
DDPJB01855TC5R	OOOOOO	20131210	00:52:49	2012.10.22	000	000	000	2	1001	1001	-25.50	-28.64	166.39	102.16	14	
DDPJB01855TC5S	OOOOOO	20131210	00:53:06	2012.10.22	000	000	000	2	1001	1001	-29.32	-26.53	74.64	100.14	18	
DDPJB01855TD0E	OOOOOO	20131210	00:53:26	2012.10.22	000	000	000	2	1001	1001	-29.68	-27.24	75.66	101.67	7	
DDPJB01855T67R	OOOOOO	20131210	00:53:40	2012.10.22	000	000	000	2	1001	1001	-29.77	-27.38	105.34	136.53	6	
DDPJB01855T66U	OOOOOO	20131210	00:53:47	2012.10.22	000	000	000	2	1001	1001	-36.21	-35.33	44.16	39.84	14	
